P5,row_count,qty_sum_dashboard,qty_max_single_row,qty_first_single_row,?????,????
P1041,1,376.0,376.0,376.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P0233,1,373.0,373.0,373.0,BS0173,알루미늄리드지 (일본 sincere ITW 1day UV)_유광 코
P4846,8,368.0,126.0,126.0,BS0133,알루미늄리드지 (Iris Toric 헤일로 그레이)_유광 코
P0210,7,367.0,125.0,63.0,BS0052,알루미늄리드지 (Iris-Toric)_무광 코팅
P7508,1,363.0,363.0,363.0,BS0316,알루미늄리드지 (PIA_1M 38% LILMOON 리드지)
P3409,4,350.0,159.0,159.0,BS0149,알루미늄리드지 (Clalen O2O2 Color 1Day)_무광 코팅
P7025,2,312.0,301.0,11.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P1400,28,308.0,51.0,0.0,BS0016,캡바이알(5cc)
P3062,1,270.0,270.0,270.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7506,2,267.0,160.0,107.0,BS0316,알루미늄리드지 (PIA_1M 38% LILMOON 리드지)
P7016,2,239.0,239.0,239.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P1311,1,238.0,238.0,238.0,BS0170,알루미늄리드지 (러시아 Bi-focal_8.40_1-day 리드지)
P5024,5,212.0,53.0,53.0,BS0192,알루미늄리드지 (Clalen O2O2 Color 1Day_Toric)_무광
P7530,2,207.0,198.0,198.0,BS0316,알루미늄리드지 (PIA_1M 38% LILMOON 리드지)
P3070,1,192.0,192.0,192.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0110,3,187.0,104.0,104.0,BS0278,알루미늄리드지 (Iris-10P)_유광 코팅
P0116,1,177.0,177.0,177.0,BS0191,알루미늄리드지 (하파크리스틴_1Day Color)_유광 코팅
P3219,1,166.0,166.0,166.0,BS0155,알루미늄리드지 (공용 Alcon Freshlook CC Lens)_유광
P4331,6,151.0,60.0,0.0,BS0005,알루미늄리드지 (Monthly_무지)
